//random broker
//64
tput: 11991.558572
tput: 11850.533432
tput: 11395.470103
tput: 11295.790564
tput: 10688.589420
tput: 10595.392114
tput: 10208.664920
tput: 10012.977626
tput: 9747.692542
tput: 9323.089576
tput: 9187.336878
tput: 8708.809088
tput: 8338.826922
tput: 8133.071196
tput: 7948.871657
tput: 7184.108899

//1024
tput: 1599.020827
tput: 1590.363546
tput: 1566.477432
tput: 1538.376182
tput: 1463.142232
tput: 785.607389
tput: 783.614346
tput: 744.646593
tput: 738.252099
tput: 736.080472
tput: 732.932564
tput: 718.679108
tput: 714.135159
tput: 713.983593
tput: 714.068032
tput: 1528.704979

//2048
tput: 1137.889218
tput: 1048.148675
tput: 865.087441
tput: 848.221434
tput: 831.565986
tput: 818.964281
tput: 941.042737
tput: 406.624461
tput: 489.251595
tput: 402.423530
tput: 400.163556
tput: 446.858565
tput: 388.821437
tput: 378.628052
tput: 378.250370

//4096 
tput: 620.523989
tput: 552.764644
tput: 552.667501
tput: 531.599189
tput: 527.339567
tput: 406.624461
tput: 223.060382
tput: 200.274605
tput: 197.772191
tput: 197.061413
tput: 197.042001
tput: 193.501750
tput: 194.071215
tput: 190.816392
tput: 190.489773
tput: 190.433831
