//same broker
//64
tput: 10149.112254
tput: 9896.969455
tput: 9812.973935
tput: 9573.035468
tput: 9463.078986
tput: 9374.641934
tput: 9379.992090
tput: 9375.247367
tput: 9290.403153
tput: 9187.426530
tput: 8939.387504
tput: 8792.571973
tput: 8208.166102
tput: 8019.755199
tput: 7952.704471
tput: 7931.312584

//1024
tput: 1602.901795
tput: 1575.922827
tput: 917.203277
tput: 916.742498
tput: 691.656268
tput: 691.285525
tput: 691.666224
tput: 690.865571
tput: 690.761647
tput: 690.244858
tput: 690.784615
tput: 689.977800
tput: 690.730404
tput: 689.654225
tput: 689.686993
tput: 689.623240

//2048
tput: 416.694188
tput: 403.824886
tput: 389.923928
tput: 384.796741
tput: 373.674993
tput: 370.707577
tput: 367.864109
tput: 366.721628
tput: 366.630495
tput: 361.651079
tput: 366.856564
tput: 414.092987
tput: 357.591694
tput: 356.255563
tput: 356.093582
tput: 355.447859

//4096
tput: 219.836988
tput: 226.549724
tput: 207.928653
tput: 223.863719
tput: 197.467810
tput: 194.613210
tput: 208.930510
tput: 193.131949
tput: 203.764285
tput: 185.783662
tput: 185.153302
tput: 184.308950
tput: 182.370366
tput: 193.633123
tput: 192.848040
tput: 191.454341
